episode,total_demand,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48
1614,1837,6,0,11,26,10,5,0,15,19,5,18,8,1,9,65,63,66,19,2,9,37,57,260,122,7,5,51,44,68,131,85,47,16,28,72,36,64,77,1,57,90,20,15,40,19,14,10,7,0
1615,1763,12,0,7,19,6,3,0,10,21,12,14,7,1,8,46,63,58,19,2,7,37,65,258,114,1,5,22,28,72,147,82,54,10,24,72,47,71,74,1,53,74,17,15,48,26,13,11,5,2
1616,1863,7,1,3,26,16,0,0,13,20,12,22,7,4,12,68,62,71,15,2,10,29,56,297,95,5,3,40,44,69,143,91,45,15,26,84,41,66,69,4,49,71,25,18,43,26,19,8,8,3
1617,1823,9,0,7,16,12,0,0,9,16,11,22,13,1,5,50,57,73,18,3,7,34,55,300,108,2,4,37,40,79,135,81,51,11,15,83,48,55,72,1,53,92,20,12,36,33,10,19,4,4
1618,1838,9,2,4,18,8,0,0,10,19,11,25,5,3,4,50,57,77,16,4,7,37,53,285,125,3,5,49,40,70,144,64,49,16,22,82,37,68,79,1,35,91,24,15,50,21,10,25,7,2
1619,1747,14,2,5,19,9,5,0,16,15,11,21,7,3,5,46,55,73,19,3,19,36,46,256,112,7,6,34,45,84,126,86,36,14,19,82,49,57,75,4,40,66,17,15,31,24,16,9,5,3
1620,1772,10,0,4,21,10,1,0,16,15,10,25,4,1,10,57,50,68,11,3,10,37,43,291,112,1,4,40,46,57,134,80,35,12,22,82,43,64,82,0,51,70,25,11,37,30,18,9,10,0
1621,1811,5,0,6,23,5,4,0,13,18,13,23,7,0,7,45,51,66,15,1,6,32,46,293,120,5,3,39,41,58,169,58,45,12,27,71,34,77,60,1,59,100,20,20,48,21,14,20,10,0
1622,1824,7,0,4,19,10,4,0,8,22,10,24,10,4,9,34,60,87,25,3,12,35,58,293,113,7,2,53,36,67,133,68,39,23,25,83,43,75,56,2,49,74,21,14,46,22,15,11,8,1
1623,1832,5,0,4,20,11,2,0,14,8,12,21,16,5,7,31,57,68,9,4,13,39,44,290,140,2,6,36,37,68,148,82,41,10,29,79,32,63,87,2,53,85,20,16,60,13,20,16,6,1
1624,1868,13,2,3,15,10,3,0,9,15,13,17,10,6,8,61,53,81,12,2,13,30,61,287,118,2,3,50,41,79,128,72,45,17,19,78,43,65,84,1,52,91,20,16,49,22,27,14,7,1
1625,1824,3,2,9,22,8,3,0,12,29,11,24,17,2,4,52,55,59,18,4,8,34,52,264,104,3,3,39,44,90,130,88,39,14,29,66,41,76,88,3,47,83,25,16,51,25,15,9,4,0
1626,1784,9,2,4,17,10,3,0,17,18,11,27,4,1,9,53,52,72,15,1,8,21,57,290,116,3,1,37,51,71,133,69,44,16,19,74,36,66,73,0,43,87,26,11,38,26,20,20,3,0
1627,1794,7,1,6,21,8,2,0,9,19,13,31,7,0,7,48,55,66,22,6,14,26,55,287,103,3,6,33,34,69,129,79,46,24,24,74,41,71,71,2,51,72,29,11,48,21,16,16,7,4
1628,1735,10,0,3,13,9,2,0,12,14,3,15,6,1,12,43,44,72,15,2,10,24,54,268,114,6,6,39,42,77,139,87,39,11,16,77,41,66,85,1,45,78,23,15,41,20,17,11,3,4
1629,1805,15,0,2,12,14,1,0,10,17,17,19,12,2,8,57,52,76,16,3,11,36,49,282,110,4,4,44,43,62,132,90,55,16,22,70,41,68,56,2,42,78,28,14,42,30,15,13,10,3
1630,1878,8,0,4,19,16,2,0,15,17,10,25,9,2,10,52,60,66,14,3,5,31,60,282,135,2,7,36,33,73,134,86,49,22,24,84,44,72,76,1,39,90,29,13,45,24,25,15,9,1
1631,1776,5,2,2,24,7,3,0,11,11,6,19,12,1,8,45,57,86,16,3,7,30,60,287,109,1,4,48,31,71,147,60,46,18,17,77,29,66,76,1,54,81,27,15,36,18,22,10,7,3
1632,1752,4,0,7,25,13,2,0,8,22,12,22,6,3,11,50,50,66,11,3,8,31,52,284,117,4,9,39,46,64,123,74,32,15,18,73,37,76,82,1,48,75,23,12,42,19,14,15,4,0
1633,1822,9,0,7,19,6,4,0,6,18,8,18,12,0,5,52,74,66,11,2,16,43,57,276,123,7,1,45,20,78,124,78,40,18,13,85,53,94,70,2,38,75,27,10,47,20,21,12,9,3
1634,1818,8,0,6,15,12,4,0,13,20,15,30,13,2,4,43,47,81,19,2,11,29,61,293,152,2,4,35,44,72,124,99,33,9,21,63,36,50,70,0,55,82,14,9,38,33,22,18,5,0
1635,1816,10,0,4,16,8,4,0,12,19,10,16,7,0,9,46,59,69,12,3,11,31,53,262,111,7,1,47,39,74,140,95,53,17,28,98,46,65,75,1,48,83,21,9,32,29,18,11,2,5
1636,1814,14,1,6,14,8,1,0,12,19,8,19,8,1,15,50,63,68,17,1,10,35,61,277,123,2,4,50,38,66,128,77,35,11,37,82,49,57,79,0,52,87,16,7,44,20,19,15,6,2
1637,1778,11,0,6,21,20,3,0,16,15,15,25,5,1,11,43,50,70,13,3,11,35,48,281,128,7,4,41,46,59,126,63,31,15,20,88,43,61,80,0,34,80,23,11,31,24,23,20,13,4
1638,1808,13,0,7,24,11,1,0,11,18,13,27,12,2,11,44,64,70,17,0,7,21,56,272,106,5,5,43,44,75,138,66,41,15,30,78,34,67,78,1,56,86,23,13,39,29,12,15,6,2
1639,1827,10,2,6,10,13,3,0,11,25,10,21,5,1,9,53,56,78,17,4,4,32,47,292,114,7,1,42,53,71,153,74,35,21,28,64,45,78,63,1,58,82,18,14,40,23,15,9,8,1
1640,1861,12,1,4,25,14,2,0,14,20,11,20,8,3,4,47,69,56,13,2,9,40,49,276,134,7,9,49,38,69,143,88,25,15,26,90,47,67,73,1,45,87,20,14,41,37,15,11,9,2
1641,1787,11,0,2,26,13,2,0,13,11,9,31,9,4,6,43,57,79,20,0,9,30,38,281,127,8,2,39,33,78,135,73,51,14,23,84,42,55,82,0,39,74,19,13,36,22,22,11,11,0
1642,1798,6,4,5,19,13,1,0,13,17,12,18,8,1,7,39,67,64,9,1,7,39,60,267,123,2,7,51,39,67,139,75,46,20,25,65,49,66,59,2,48,79,26,11,49,26,21,13,8,5
1643,1784,13,1,7,23,9,3,0,15,17,6,24,11,0,13,39,65,54,22,2,7,26,46,258,113,4,3,52,46,75,134,86,42,17,26,81,26,60,92,3,53,78,21,17,32,22,22,5,12,1
1644,1821,9,2,9,23,13,2,0,18,25,10,21,8,0,15,56,47,63,18,4,14,25,63,298,121,5,4,35,37,75,142,84,46,15,19,67,33,53,75,1,41,87,21,11,40,21,16,14,11,4
1645,1733,6,1,4,15,14,4,0,17,15,8,20,7,1,7,35,50,80,8,2,12,30,58,281,103,4,5,41,44,59,132,63,33,13,26,62,40,65,81,1,56,65,28,15,53,36,11,10,9,3
1646,1768,9,1,4,17,9,0,0,17,22,6,13,6,0,10,62,50,67,22,4,7,25,59,256,115,6,4,49,37,72,132,85,39,16,23,74,43,60,67,1,46,74,27,15,46,23,15,18,13,2
1647,1791,10,0,2,14,10,3,0,11,13,11,20,11,1,10,42,55,69,14,1,10,26,57,282,97,6,1,27,47,55,158,97,35,11,28,71,34,100,74,0,37,92,22,14,43,24,21,13,9,3
1648,1818,5,0,3,16,10,3,0,15,16,12,18,6,1,6,62,57,79,16,4,6,29,47,302,134,1,7,40,34,76,129,93,43,18,27,69,37,54,73,4,42,76,20,14,40,30,21,11,8,4
1649,1869,10,0,4,22,11,3,0,18,20,12,23,6,4,7,42,57,93,22,4,9,34,51,284,122,1,2,40,32,66,115,96,52,23,20,76,54,74,82,1,45,83,24,12,42,32,17,16,6,0
1650,1819,10,0,8,14,11,4,0,14,20,5,24,9,0,9,52,51,65,15,3,8,37,57,317,117,6,2,43,41,66,147,87,34,7,18,83,42,69,69,0,38,74,18,16,33,22,20,23,10,1
1651,1819,9,1,8,17,10,4,0,11,18,12,30,11,1,6,48,53,78,16,1,11,33,56,293,115,7,6,41,51,67,146,71,41,20,30,66,37,63,55,1,43,98,18,15,35,21,21,13,9,2
1652,1797,10,0,10,18,9,6,0,13,17,10,24,7,1,8,43,64,78,19,6,12,35,55,264,111,1,6,40,42,69,130,82,48,16,26,85,40,65,54,1,60,72,25,17,32,20,20,15,8,3
1653,1921,7,0,5,25,16,1,0,4,15,12,14,6,2,5,54,53,60,21,1,11,42,52,321,134,4,5,48,47,73,163,86,45,18,21,68,40,63,84,1,59,77,24,11,44,28,22,15,13,1
1654,1830,9,3,4,29,14,1,0,15,25,11,20,10,1,7,45,57,72,18,1,10,32,72,276,103,8,4,53,48,71,133,86,38,20,25,74,50,58,53,3,61,79,25,13,43,23,10,10,4,3
1655,1767,11,0,4,19,10,0,0,18,15,13,24,12,1,3,41,45,69,11,2,12,28,50,287,98,5,4,44,47,86,117,78,44,16,25,75,40,75,60,0,47,94,22,13,41,25,18,15,3,0
1656,1786,10,1,6,21,6,2,0,22,19,9,23,11,0,4,46,56,81,17,2,8,32,60,289,119,2,8,40,41,79,116,82,41,16,19,70,42,71,65,3,42,81,17,21,45,16,11,8,4,2
1657,1849,9,1,8,23,10,2,0,12,8,6,23,15,1,5,57,53,71,17,1,6,36,55,292,123,3,6,38,52,86,145,74,45,23,21,70,51,76,66,2,41,70,22,15,50,20,20,9,7,3
1658,1828,12,0,5,21,12,1,0,15,17,7,30,9,0,3,51,70,69,7,2,14,41,53,281,115,3,4,42,40,69,122,78,41,16,22,82,54,76,67,0,41,87,18,16,47,23,23,16,4,2
1659,1806,8,0,4,21,11,1,0,17,14,12,30,7,2,8,43,60,81,18,1,10,24,51,283,125,8,3,41,35,60,138,89,28,14,19,79,53,70,82,1,45,86,15,15,36,18,14,18,5,3
1660,1740,12,2,7,23,3,3,0,17,15,9,27,10,2,13,47,60,71,10,1,10,29,47,252,126,0,4,42,44,73,128,67,30,21,23,89,32,60,80,0,50,81,24,10,36,22,16,7,4,1
1661,1836,10,2,4,22,10,1,0,18,12,15,15,9,3,11,40,38,80,22,5,15,40,61,297,109,4,2,45,37,62,148,89,37,23,19,77,39,53,91,1,52,95,19,14,37,19,13,9,10,2
1662,1828,10,0,5,21,8,4,0,10,18,7,24,9,0,5,44,70,73,12,4,21,29,50,275,135,8,3,57,37,77,128,82,61,14,24,61,33,62,75,0,50,82,18,14,45,17,22,9,12,3
1663,1821,9,1,9,18,9,5,0,14,14,10,30,5,4,8,51,53,75,24,1,9,33,53,307,126,5,0,50,50,53,125,73,57,10,23,71,37,45,96,4,47,83,15,10,37,21,26,8,6,1
1664,1849,7,1,9,19,11,0,0,15,15,7,22,10,3,5,47,66,74,15,1,13,34,59,305,140,0,2,60,36,72,136,80,44,12,24,78,48,56,67,2,29,92,29,12,32,21,22,13,3,1
1665,1844,19,1,7,24,12,3,0,14,16,7,29,9,1,9,37,52,67,18,1,12,32,53,280,125,4,2,51,42,81,149,71,49,18,21,90,34,62,69,2,48,88,19,9,38,25,18,15,5,6
1666,1802,11,1,9,21,6,2,0,12,15,4,23,7,3,9,53,58,84,19,1,5,29,50,283,114,7,3,39,41,65,143,69,45,18,19,83,45,79,73,1,50,67,22,7,42,27,14,18,6,0
1667,1878,3,0,5,24,13,3,0,14,20,10,29,9,3,8,46,63,87,12,1,10,23,55,314,120,5,5,48,41,84,126,95,29,16,18,79,45,71,86,0,46,87,18,12,43,16,11,10,15,0
1668,1833,12,5,1,19,9,4,0,22,12,9,28,8,1,5,35,64,68,13,4,10,34,56,268,112,6,2,53,42,77,143,81,44,18,26,80,33,60,89,3,46,89,24,14,37,36,10,10,9,2
1669,1863,13,0,5,9,9,2,0,12,18,18,25,7,3,8,52,68,56,10,2,7,38,59,296,110,7,5,40,39,75,145,87,42,16,29,92,39,56,74,0,48,83,15,17,56,25,25,16,3,2
1670,1775,15,1,4,16,9,2,0,11,24,15,20,5,3,6,50,65,80,17,2,9,31,49,237,130,11,3,45,32,82,128,84,42,12,18,66,35,63,84,0,53,81,16,12,37,29,14,15,8,4
1671,1820,10,1,2,21,7,3,0,10,14,8,29,6,4,10,44,59,63,15,4,5,30,63,296,115,6,5,40,47,83,124,93,38,12,17,84,51,66,78,1,56,72,19,18,38,19,18,10,6,0
1672,1796,15,1,4,16,12,0,0,19,19,14,25,6,2,5,44,51,72,10,5,15,35,45,258,127,5,2,51,45,75,131,76,38,17,18,72,46,69,66,1,41,93,30,25,45,18,12,12,8,0
1673,1911,12,2,2,14,13,4,0,15,19,12,24,9,2,7,58,64,58,12,3,12,33,54,276,148,3,8,46,49,81,128,85,42,13,23,72,56,86,68,0,57,83,19,21,50,33,20,6,6,3
1674,1769,8,0,6,16,14,4,1,18,19,8,21,11,2,6,55,48,72,19,2,10,36,54,271,109,7,4,44,32,72,130,71,36,15,22,83,41,54,80,1,51,78,27,11,44,28,17,7,3,1
1675,1816,5,0,7,14,11,3,0,11,20,7,17,5,1,5,45,58,67,19,3,11,34,53,283,122,3,4,35,45,73,137,72,39,34,22,83,48,79,73,0,45,82,16,12,46,31,18,11,4,3
1676,1799,14,1,4,26,8,0,0,17,21,12,16,6,5,14,66,56,68,19,0,12,33,55,288,121,5,4,34,27,67,140,72,42,20,25,73,37,53,86,1,33,68,29,12,42,24,16,15,9,3
1677,1801,7,2,3,24,16,2,0,9,15,15,19,7,2,4,47,54,73,13,2,9,31,57,279,110,3,3,38,42,72,147,85,37,15,27,65,31,70,80,2,50,94,25,18,38,19,20,9,7,4
1678,1799,12,1,2,9,11,3,0,14,19,10,20,7,3,3,53,68,70,15,3,13,24,68,280,110,6,3,36,35,52,132,104,48,13,28,83,35,58,80,0,44,92,24,8,45,24,10,13,7,1
1679,1818,10,0,6,18,12,2,0,7,16,6,21,11,3,5,53,61,77,21,2,10,26,61,267,110,5,5,51,37,77,128,76,48,21,17,91,42,72,76,1,42,80,19,18,44,23,15,18,4,3
1680,1791,9,0,5,23,4,2,0,12,10,9,26,4,3,8,43,62,72,22,4,10,28,46,257,110,5,3,54,30,66,133,73,54,22,21,90,42,73,83,2,48,73,24,12,41,27,22,16,5,3
1681,1820,10,1,2,17,15,1,0,10,16,11,17,5,1,10,41,66,66,17,1,7,37,37,288,106,4,3,65,41,72,144,82,40,13,19,75,40,77,76,2,48,79,30,13,44,18,25,17,7,4
1682,1817,11,1,6,19,5,5,0,8,19,8,31,9,1,6,49,61,92,15,1,9,31,60,259,116,3,2,54,43,76,140,75,37,9,30,76,50,63,67,1,53,81,16,12,32,29,22,12,8,4
1683,1817,11,1,7,24,7,2,0,10,16,3,28,8,1,7,52,67,69,11,4,9,34,61,238,110,4,7,45,56,76,143,69,45,15,19,85,45,68,70,1,51,87,19,12,42,34,17,19,7,1
1684,1850,7,0,9,16,8,5,0,14,19,9,23,7,3,13,59,53,67,14,0,9,35,69,286,118,3,3,46,38,76,119,66,53,20,19,76,44,71,76,4,48,88,18,18,38,30,23,15,9,6
1685,1797,11,1,8,15,8,2,0,19,17,20,16,8,0,17,46,45,66,16,3,8,27,70,278,149,6,2,34,33,79,125,79,52,9,15,68,47,63,79,1,57,61,21,15,31,23,19,18,8,2
1686,1878,15,0,7,18,14,2,0,13,24,12,17,9,2,5,36,55,70,15,3,9,27,53,278,148,4,7,51,36,77,159,96,42,23,18,76,40,60,76,1,56,72,26,12,50,20,21,13,9,1
1687,1797,11,1,7,22,7,1,1,13,20,9,19,12,0,7,55,58,61,18,3,13,34,54,269,105,4,7,48,33,68,132,86,30,15,24,83,49,59,83,1,37,88,33,13,47,25,13,15,4,0
1688,1823,6,0,3,18,12,2,0,12,16,10,16,7,4,6,46,52,72,9,3,8,22,63,290,113,4,5,45,41,70,164,62,34,12,27,76,32,71,64,2,42,106,31,15,53,25,22,20,7,3
1689,1851,11,1,4,15,11,3,0,9,22,10,22,7,0,9,50,55,69,16,2,13,30,47,300,118,4,4,48,44,74,128,85,45,15,27,79,40,65,85,1,47,96,25,11,40,22,17,17,6,2
1690,1803,13,1,5,12,9,0,0,11,20,11,23,12,1,10,43,55,80,19,3,12,40,54,299,98,8,5,38,32,68,128,77,48,15,11,75,41,65,78,5,50,81,30,9,43,20,20,13,9,3
1691,1833,8,1,3,12,10,2,0,11,20,17,20,6,2,9,54,53,78,15,2,16,29,48,258,137,4,8,49,42,76,136,76,58,14,18,80,52,86,67,3,46,65,22,14,41,19,19,17,7,3
1692,1790,5,0,8,16,17,4,0,14,23,9,13,6,2,6,48,56,68,15,0,6,27,51,272,136,3,2,52,45,59,139,86,33,10,19,82,40,58,90,1,47,90,20,10,41,21,13,19,4,4
1693,1871,6,0,9,19,9,0,0,11,21,9,22,5,2,8,34,64,72,21,2,13,36,58,294,133,5,8,39,47,89,123,63,44,14,24,73,59,62,84,5,45,70,24,16,54,31,19,17,6,2
1694,1921,9,1,9,21,9,1,1,14,16,14,25,9,3,7,52,65,83,14,1,8,42,65,291,131,7,4,37,42,79,135,75,40,19,22,90,46,69,69,1,43,96,29,20,52,23,15,12,4,1
1695,1818,5,1,6,13,13,4,0,16,22,5,22,14,0,9,51,44,91,10,5,12,32,62,282,135,2,3,45,42,57,141,71,44,13,29,73,37,67,67,0,42,86,25,15,43,25,16,18,3,0
1696,1886,10,0,7,19,10,3,0,12,15,13,22,11,2,9,42,54,85,20,1,14,26,52,286,139,4,5,50,32,82,127,77,52,22,32,75,46,55,86,2,51,87,27,21,37,20,17,14,13,0
1697,1804,5,0,6,24,7,1,0,15,17,15,18,13,4,6,55,55,69,13,4,12,33,56,268,111,1,2,35,40,66,134,79,40,12,27,96,47,62,69,0,39,103,24,13,44,28,12,16,6,2
1698,1919,12,0,4,25,15,6,0,12,16,10,22,10,3,5,49,53,78,17,3,9,41,58,293,131,8,6,36,37,74,160,82,39,19,21,90,52,70,80,2,46,91,22,15,32,16,21,19,5,4
1699,1855,10,0,9,23,11,3,0,15,14,6,29,4,4,6,48,58,76,18,3,11,30,56,272,112,8,8,48,50,69,136,80,40,15,34,73,53,71,64,3,66,80,26,13,40,27,5,17,10,1
1700,1853,10,0,3,18,13,1,0,15,15,13,15,6,2,14,57,57,57,10,2,7,22,59,317,112,9,7,37,36,64,147,86,38,8,26,87,43,67,86,3,42,88,26,14,42,31,25,8,6,2
1701,1844,13,0,2,18,14,2,0,16,23,9,17,5,2,4,44,56,70,13,1,15,36,51,300,129,7,4,50,47,79,132,78,48,19,31,87,33,62,80,1,58,51,13,12,49,28,12,13,7,3
1702,1838,13,0,6,13,16,0,0,14,18,13,29,13,5,8,62,50,70,12,3,8,29,43,307,114,3,6,45,36,59,141,71,49,11,32,76,41,75,77,2,46,81,20,10,39,17,30,14,9,2
1703,1754,11,1,5,20,11,3,0,12,14,12,25,9,0,10,36,49,71,17,1,7,35,44,264,113,6,7,37,33,77,154,66,47,16,26,84,31,57,64,0,46,88,17,22,41,28,22,9,5,1
1704,1739,8,0,8,17,10,3,0,9,19,5,24,5,3,9,40,55,67,11,2,8,28,56,278,119,4,3,49,45,72,128,71,46,16,26,82,34,65,64,4,52,78,19,8,34,20,14,14,4,3
1705,1807,13,0,12,15,9,4,0,13,13,12,13,8,1,10,48,56,80,12,3,9,33,58,291,123,7,3,45,33,62,131,71,44,18,19,82,38,65,78,0,47,84,28,12,41,27,13,14,7,2
1706,1822,14,2,3,25,7,1,0,11,17,8,17,10,2,9,57,57,75,15,4,9,33,55,264,125,5,2,50,34,79,150,90,53,20,14,77,52,66,81,0,43,60,22,13,44,18,8,12,6,3
1707,1897,12,5,3,31,9,4,0,14,21,7,18,6,1,1,52,61,77,19,1,8,34,54,292,124,8,3,43,41,75,146,75,37,23,32,69,33,65,72,1,49,101,27,14,64,29,10,17,7,2
1708,1842,8,0,9,21,9,2,0,12,20,13,21,16,1,6,62,51,84,7,2,8,27,67,263,104,3,8,46,36,77,131,96,50,29,24,74,27,73,85,1,33,63,23,20,50,29,22,11,14,4
1709,1834,8,1,8,19,19,6,0,12,23,11,20,9,3,9,52,65,74,15,0,9,24,44,285,133,6,5,31,33,71,144,68,40,17,23,74,51,75,73,1,59,84,21,17,33,28,13,12,6,0
1710,1859,6,3,10,13,17,1,0,11,14,11,27,11,3,4,47,67,72,21,1,4,41,60,267,111,7,2,47,45,66,137,95,39,19,24,94,48,76,84,2,55,68,22,10,40,18,20,15,4,0
1711,1802,7,0,3,22,14,4,0,10,22,9,28,7,1,7,58,51,57,17,3,10,22,45,286,121,4,4,40,31,72,154,77,53,11,29,90,40,67,71,1,40,73,21,8,38,24,14,18,12,6
1712,1775,14,1,6,22,10,1,0,8,13,12,23,4,2,5,55,45,75,14,5,12,36,60,290,113,2,8,36,29,69,138,71,42,15,19,79,43,63,66,1,49,88,28,8,40,24,12,10,6,3
1713,1881,12,0,5,17,7,1,0,17,14,8,25,10,2,8,54,55,57,14,2,7,35,71,298,132,4,3,49,32,77,150,92,31,20,25,79,44,69,72,1,47,89,22,16,38,26,19,17,6,2
1714,1873,8,4,7,26,8,1,0,17,21,14,20,5,6,9,43,69,88,16,0,8,37,57,275,108,4,3,45,48,75,134,80,35,15,25,75,50,63,85,0,52,101,22,13,48,19,15,8,10,1
1715,1799,11,1,15,23,9,5,0,13,17,13,16,12,1,8,47,47,63,17,3,8,30,49,285,132,6,1,44,56,77,118,85,34,19,26,75,36,54,80,1,42,82,25,14,44,21,19,10,4,1
1716,1806,9,0,6,18,8,0,0,14,17,11,15,8,1,5,59,57,59,17,2,12,30,53,281,113,9,5,42,32,64,140,87,45,18,22,79,39,77,75,1,59,81,24,17,37,14,18,16,5,5
1717,1780,11,0,3,17,13,3,0,23,19,7,26,5,1,6,35,57,63,18,5,11,32,58,263,124,4,7,51,42,78,134,79,35,15,13,70,34,70,71,3,46,79,20,12,44,28,18,11,10,6
1718,1825,13,2,6,21,7,3,0,7,15,10,26,8,1,5,42,67,72,20,2,12,37,57,252,113,1,2,67,38,76,137,92,42,17,26,66,35,79,68,0,38,94,29,9,48,28,15,13,3,4
1719,1849,12,1,3,15,7,2,0,15,19,13,28,6,1,5,41,56,80,11,0,9,41,57,276,131,6,5,54,42,70,126,88,43,17,31,78,41,69,72,3,55,80,22,18,46,17,16,16,4,1
1720,1760,4,0,3,21,4,2,0,10,12,9,22,9,1,5,46,53,79,18,3,11,27,45,280,118,4,4,48,38,66,133,62,53,17,21,76,31,64,74,2,50,90,18,14,55,21,19,13,4,1
1721,1836,12,2,6,14,7,0,0,17,18,6,15,6,0,9,55,60,85,19,4,13,30,55,277,114,6,4,46,40,82,121,89,44,16,21,66,42,75,84,0,47,89,16,14,40,24,22,12,12,0
1722,1831,19,0,10,21,8,3,0,18,23,7,15,12,1,15,37,54,73,9,1,12,25,53,301,117,5,10,50,31,74,154,76,43,16,13,79,38,62,67,1,54,81,21,11,42,28,19,14,8,0
1723,1792,7,0,4,21,11,2,0,12,15,7,15,6,3,10,44,44,71,21,2,12,29,51,296,118,4,6,53,42,65,140,86,37,23,17,79,40,62,66,1,53,80,17,13,51,14,13,15,11,3
1724,1859,6,0,6,23,13,5,0,9,21,8,20,9,1,7,44,51,88,15,2,12,38,62,298,127,5,6,42,52,86,127,83,33,19,27,79,43,66,65,1,50,89,25,8,39,18,15,12,3,1
1725,1826,12,0,7,13,8,4,0,7,17,11,23,9,3,4,41,53,88,21,3,5,36,55,275,111,6,2,48,33,77,122,92,50,16,28,71,53,73,77,0,40,86,25,13,52,22,17,9,3,5
1726,1871,10,1,2,11,12,3,0,14,20,14,20,15,0,10,42,66,71,12,2,13,36,41,319,118,12,2,43,41,84,119,71,53,15,24,85,39,62,81,1,42,90,16,12,61,30,13,14,8,1
1727,1777,9,0,3,22,13,0,0,15,9,9,17,7,3,7,46,56,68,11,2,6,36,59,324,107,5,3,46,29,56,127,70,47,13,30,74,45,68,64,3,50,80,22,14,41,24,12,17,6,2
1728,1929,9,2,9,22,18,3,0,21,17,6,29,18,3,6,58,68,84,10,3,10,49,58,296,120,6,5,54,35,74,126,67,52,23,23,80,45,78,72,2,54,77,29,15,37,23,18,10,4,1
1729,1796,12,2,3,16,4,1,0,11,11,10,17,7,1,13,59,46,75,17,3,10,34,55,289,114,5,6,45,39,74,139,75,50,20,23,84,30,66,71,1,54,77,21,12,43,24,9,15,3,0
1730,1844,12,2,4,21,9,1,0,14,22,7,18,3,3,10,58,82,82,17,2,7,30,62,267,111,10,5,41,39,67,130,64,53,15,18,90,38,68,77,4,46,77,26,11,52,28,19,13,9,0
1731,1837,4,1,7,15,15,2,0,9,16,7,19,8,1,5,54,62,81,18,0,7,31,64,288,107,7,3,33,48,84,145,75,39,17,27,79,47,54,84,0,53,65,28,10,39,34,14,15,10,6
1732,1818,15,2,4,15,11,1,0,12,19,12,18,11,1,9,52,56,71,8,3,9,43,63,290,122,6,6,37,39,76,128,75,40,18,21,78,45,75,62,3,33,87,18,12,48,27,15,12,7,3
1733,1859,13,0,6,18,13,1,0,12,23,6,24,3,2,7,61,55,83,12,4,11,34,60,269,110,5,0,46,46,70,152,78,43,9,24,91,42,61,76,1,50,86,23,15,42,26,18,14,11,3
1734,1799,6,1,2,15,11,3,0,10,26,5,16,6,3,7,44,58,80,11,1,9,30,51,284,116,6,2,46,46,81,141,72,41,15,25,71,48,69,77,1,41,77,17,13,47,22,17,18,5,6
1735,1829,11,1,4,20,10,2,0,12,14,10,14,13,2,4,50,64,74,8,2,6,31,52,291,113,3,4,45,44,67,141,79,52,20,24,81,41,69,74,2,46,84,28,10,41,22,20,12,8,4
1736,1787,7,1,9,16,10,2,0,12,27,5,14,8,3,6,51,71,68,17,5,10,39,49,290,100,8,7,33,41,79,136,61,33,12,13,74,34,65,64,2,52,94,24,10,44,38,24,9,7,3
1737,1761,10,0,4,19,14,3,1,9,21,12,18,8,2,12,41,52,82,13,1,16,37,56,287,103,7,2,42,31,60,116,88,43,21,23,67,48,67,74,0,52,76,12,9,35,18,24,13,11,1
1738,1788,7,2,6,23,11,5,0,13,19,5,16,8,2,12,50,63,70,15,0,11,39,59,302,110,6,3,49,45,62,124,76,37,16,25,91,39,59,59,3,57,72,14,14,35,25,14,11,4,0
1739,1932,7,0,7,23,10,7,0,18,26,11,23,7,2,4,45,53,82,12,2,12,36,50,338,107,8,3,42,43,78,146,71,41,11,18,79,49,58,110,2,46,105,24,15,36,28,19,10,5,3
1740,1871,8,0,12,13,12,3,0,11,21,10,22,10,5,9,49,46,68,18,1,6,37,65,256,130,6,5,50,42,59,149,82,52,18,20,81,42,75,78,2,62,82,30,14,43,24,20,12,8,3
1741,1811,11,0,4,19,12,3,1,13,21,10,19,11,3,8,59,48,74,8,2,7,32,58,311,119,11,6,46,50,54,138,83,36,19,18,62,38,78,70,2,49,76,19,12,37,26,13,12,2,1
1742,1837,10,1,11,26,9,1,0,13,21,14,22,9,3,8,42,63,61,15,1,7,41,65,309,115,4,3,39,31,76,135,66,49,12,24,90,48,67,71,1,41,69,22,21,37,33,11,15,5,0
1743,1812,7,0,5,20,6,3,0,5,25,12,16,7,2,10,57,61,67,9,3,7,37,56,305,97,2,9,47,42,80,140,87,41,19,19,79,34,63,60,4,40,80,24,22,47,25,13,14,3,1
1744,1806,12,1,3,28,11,3,0,9,16,7,20,11,0,15,41,55,62,11,3,8,31,53,259,113,5,6,49,33,94,128,87,49,23,11,80,44,66,71,0,60,83,26,15,48,21,19,11,3,2
